cadence,year,slice,days,n_top_in_position,n_ranked,oracle_ma_modal,modal_fast,modal_slow,modal_count,mean_capture_rate,mean_captured_return,dna_top5
4h,2021,W4,22-28,23,25,"EMA(20,100)",20,100,6,0.7231,1.2161,"EMA(20,100):6; SMA(5,100):4; EMA(5,20):3; EMA(5,100):2; SMA(20,100):2"
4h,2022,W1,1-7,7,25,"SMA(5,100)",5,100,3,0.6746,0.2381,"SMA(5,100):3; EMA(5,100):1; EMA(5,20):1; SMA(20,50):1; EMA(20,100):1"
4h,2022,W2,8-14,25,25,"SMA(5,20)",5,20,10,0.39,0.1074,"SMA(5,20):10; SMA(20,50):7; EMA(5,20):2; EMA(10,20):2; EMA(20,100):1"
4h,2022,W3,15-21,3,25,"SMA(10,100)",10,100,1,0.1435,0.076,"SMA(10,100):1; SMA(20,100):1; EMA(20,100):1"
4h,2022,W4,22-28,18,25,"SMA(5,20)",5,20,9,0.1527,0.0248,"SMA(5,20):9; EMA(5,20):4; SMA(20,50):2; SMA(10,20):2; SMA(5,50):1"
4h,2023,W1,1-7,25,25,"SMA(10,20)",10,20,8,0.7755,0.148,"SMA(10,20):8; EMA(10,20):4; SMA(5,20):3; EMA(5,20):3; SMA(5,50):3"
4h,2023,W2,8-14,25,25,"SMA(5,50)",5,50,6,0.9958,0.5656,"SMA(5,50):6; EMA(5,20):4; SMA(10,50):4; SMA(5,20):3; EMA(10,20):3"
4h,2023,W3,15-21,25,25,"SMA(5,50)",5,50,4,1.0,0.6955,"SMA(5,50):4; SMA(20,50):3; EMA(20,50):3; SMA(10,50):2; EMA(10,20):2"
4h,2023,W4,22-28,25,25,"SMA(5,50)",5,50,5,1.0,0.7205,"SMA(5,50):5; EMA(20,50):4; SMA(20,100):3; SMA(10,100):3; SMA(5,100):2"
4h,2024,W1,1-7,12,25,"EMA(5,100)",5,100,5,0.6893,0.6917,"EMA(5,100):5; EMA(20,100):2; SMA(20,50):1; SMA(5,50):1; SMA(20,100):1"
4h,2024,W2,8-14,25,25,"SMA(20,50)",20,50,4,0.5038,0.4237,"SMA(20,50):4; SMA(5,20):4; EMA(5,100):4; EMA(20,100):3; SMA(5,50):3"
4h,2024,W3,15-21,23,25,"SMA(5,20)",5,20,7,0.3756,0.0409,"SMA(5,20):7; SMA(10,20):4; EMA(5,100):2; SMA(20,50):2; SMA(5,100):2"
4h,2024,W4,22-28,25,25,"SMA(10,20)",10,20,9,0.4969,0.1168,"SMA(10,20):9; SMA(5,20):6; EMA(20,100):2; SMA(10,50):2; EMA(10,20):2"
4h,2025,W1,1-7,25,25,"SMA(5,50)",5,50,9,0.3337,0.037,"SMA(5,50):9; SMA(5,20):3; SMA(10,20):3; SMA(10,100):3; EMA(5,50):2"
4h,2025,W2,8-14,23,25,"SMA(5,20)",5,20,11,0.1832,0.0397,"SMA(5,20):11; EMA(5,20):11; EMA(5,100):1"
4h,2025,W3,15-21,19,25,"SMA(5,50)",5,50,3,0.5802,0.1262,"SMA(5,50):3; EMA(5,20):2; SMA(10,50):2; SMA(20,50):2; SMA(10,20):2"
4h,2025,W4,22-28,9,25,"EMA(10,100)",10,100,2,0.4535,0.0548,"EMA(10,100):2; SMA(5,100):2; SMA(20,100):2; EMA(5,20):1; SMA(10,100):1"
4h,2026,W1,1-7,25,25,"SMA(5,50)",5,50,4,0.7499,0.2599,"SMA(5,50):4; EMA(5,20):4; SMA(5,20):3; SMA(10,50):3; EMA(5,50):3"
4h,2026,W2,8-14,25,25,"SMA(5,100)",5,100,8,0.925,0.2762,"SMA(5,100):8; SMA(5,20):2; SMA(10,50):2; EMA(5,50):2; SMA(10,100):2"
4h,2026,W3,15-21,13,25,"SMA(5,20)",5,20,5,0.3871,0.0902,"SMA(5,20):5; SMA(20,50):2; SMA(20,100):2; EMA(10,20):1; EMA(20,100):1"
4h,2026,W4,22-28,22,25,"SMA(5,20)",5,20,13,0.4119,0.0681,"SMA(5,20):13; SMA(10,20):3; SMA(20,50):1; SMA(10,50):1; EMA(5,20):1"
