cadence,year,slice,sym,trailing_perf,best_ti,fast,slow,captured_return,perfect_return,capture_rate
30m,2025,W2,PROMUSDT,0.3824,"SMA(5,100)",5,100,0.3994,0.4752,0.8404
30m,2025,W2,XRPUSDT,0.1594,"EMA(5,20)",5,20,0.0821,0.2062,0.398
30m,2025,W2,DEXEUSDT,0.0879,"EMA(5,20)",5,20,0.2038,0.2541,0.802
30m,2025,W2,LDOUSDT,0.0324,"EMA(5,20)",5,20,0.2313,0.3016,0.767
30m,2025,W2,DOGEUSDT,0.0138,"SMA(10,20)",10,20,0.1102,0.129,0.8539
30m,2025,W2,XLMUSDT,0.0127,"SMA(5,100)",5,100,0.0257,0.1084,0.2374
30m,2025,W2,ZENUSDT,0.0087,"EMA(5,20)",5,20,0.1857,0.259,0.7172
30m,2025,W2,TONUSDT,0.0049,"EMA(5,50)",5,50,0.019,0.0705,0.2697
30m,2025,W2,ORDIUSDT,0.0035,"EMA(5,20)",5,20,0.0566,0.1289,0.4391
30m,2025,W2,BCHUSDT,-0.003,"EMA(5,20)",5,20,0.0414,0.0754,0.5489
30m,2025,W2,BTCUSDT,-0.0054,"EMA(5,20)",5,20,0.0458,0.0639,0.717
30m,2025,W2,PNUTUSDT,-0.0055,"EMA(5,20)",5,20,0.1283,0.3235,0.3967
30m,2025,W2,BNBUSDT,-0.0091,"SMA(5,20)",5,20,0.0389,0.0568,0.6845
30m,2025,W2,ADAUSDT,-0.0094,"SMA(10,20)",10,20,0.093,0.1299,0.7158
30m,2025,W2,SHIBUSDT,-0.0128,"SMA(10,20)",10,20,0.0677,0.08,0.8465
30m,2025,W2,LTCUSDT,-0.0146,"SMA(10,20)",10,20,0.053,0.089,0.5949
30m,2025,W2,ALGOUSDT,-0.0184,"EMA(10,20)",10,20,0.0762,0.1464,0.5207
30m,2025,W2,HBARUSDT,-0.0194,"EMA(10,20)",10,20,0.0559,0.106,0.5275
30m,2025,W2,ZECUSDT,-0.0236,"SMA(5,20)",5,20,0.0897,0.1691,0.5307
30m,2025,W2,DASHUSDT,-0.0264,"SMA(10,20)",10,20,0.0997,0.136,0.7335
30m,2025,W2,TIAUSDT,-0.0272,"SMA(10,50)",10,50,0.0413,0.0987,0.4185
30m,2025,W2,ETCUSDT,-0.0283,"SMA(10,20)",10,20,0.0749,0.0935,0.8019
30m,2025,W2,UNIUSDT,-0.0297,"EMA(5,20)",5,20,0.0424,0.0935,0.4532
30m,2025,W2,FILUSDT,-0.0371,"SMA(10,20)",10,20,0.0911,0.1173,0.7766
30m,2025,W2,POLUSDT,-0.0378,"SMA(10,20)",10,20,0.0673,0.1013,0.6638
30m,2025,W3,SOLUSDT,0.3332,"SMA(10,20)",10,20,0.0492,0.3453,0.1425
30m,2025,W3,LINKUSDT,0.3068,"SMA(5,20)",5,20,0.074,0.3269,0.2263
30m,2025,W3,AAVEUSDT,0.2521,"SMA(5,100)",5,100,0.1502,0.2947,0.5096
30m,2025,W3,XRPUSDT,0.1877,"EMA(5,20)",5,20,0.0214,0.1877,0.1142
30m,2025,W3,DEXEUSDT,0.1836,"EMA(10,100)",10,100,0.1232,0.2306,0.5341
30m,2025,W3,BONKUSDT,0.1774,"SMA(10,20)",10,20,0.073,0.2187,0.334
30m,2025,W3,HBARUSDT,0.1664,"SMA(10,20)",10,20,0.0025,0.167,0.0149
30m,2025,W3,LTCUSDT,0.1586,"SMA(20,50)",20,50,-0.0061,0.1807,0.0
30m,2025,W3,ALGOUSDT,0.1412,"SMA(10,50)",10,50,-0.0009,0.1419,0.0
30m,2025,W3,ENAUSDT,0.1259,"SMA(10,20)",10,20,0.0827,0.2032,0.4072
30m,2025,W3,TRXUSDT,0.1056,"SMA(10,20)",10,20,0.026,0.1071,0.2424
30m,2025,W3,BTCUSDT,0.0921,"SMA(10,20)",10,20,0.0364,0.0994,0.3663
30m,2025,W3,INJUSDT,0.069,"SMA(5,20)",5,20,0.0792,0.146,0.5423
30m,2025,W3,ETCUSDT,0.0652,"SMA(5,20)",5,20,0.0606,0.0913,0.6636
